func,with_node_labels,bins,range,generation_time,memory_mb,embedding_dim,classifier,train_accuracy,accuracy,f1_score,auc,train_time,harm_bins,harm_range,pol_bins,pol_range
polynomial,False,200.0,3.81,4.621735095977783,2.4884443283081055,200,MLP Raw,0.884313725490196,0.37777777777777777,0.3779946235118649,0.6998518518518518,12.590235710144043,,,,
polynomial_with_labels,True,200.0,3.81,4.621735095977783,2.4884443283081055,203,SVM (RBF) Raw,0.7470588235294118,0.4,0.38538968363529763,0.6826666666666668,0.6546792984008789,,,,
polynomial_with_labels,True,200.0,3.81,4.621735095977783,2.4884443283081055,203,Random Forest Raw,1.0,0.5444444444444444,0.5409136909895922,0.8012592592592592,1.3623950481414795,,,,
polynomial_with_labels,True,200.0,3.81,4.621735095977783,2.4884443283081055,203,MLP Raw,0.40588235294117647,0.24444444444444444,0.23826383591829814,0.6303703703703704,4.761065483093262,,,,
polynomial,False,250.0,3.81,4.640385866165161,2.8821210861206055,250,SVM (RBF) Raw,0.7392156862745098,0.36666666666666664,0.3657227803061136,0.6613333333333333,0.6967418193817139,,,,
polynomial,False,250.0,3.81,4.640385866165161,2.8821210861206055,250,Random Forest Raw,1.0,0.4777777777777778,0.4705611895483811,0.7761481481481483,1.185476303100586,,,,
polynomial,False,250.0,3.81,4.640385866165161,2.8821210861206055,250,MLP Raw,0.8450980392156863,0.36666666666666664,0.35649161533893586,0.7088888888888889,8.21855878829956,,,,
polynomial_with_labels,True,250.0,3.81,4.640385866165161,2.8821210861206055,253,SVM (RBF) Raw,0.7450980392156863,0.3,0.29299143132053884,0.6762962962962963,0.8152801990509033,,,,
polynomial_with_labels,True,250.0,3.81,4.640385866165161,2.8821210861206055,253,Random Forest Raw,1.0,0.5,0.496815210932858,0.7862222222222223,1.0871853828430176,,,,
polynomial_with_labels,True,250.0,3.81,4.640385866165161,2.8821210861206055,253,MLP Raw,0.6254901960784314,0.32222222222222224,0.32315603289888445,0.652,5.561308145523071,,,,
naive_hybrid,False,,,,,150,SVM (RBF) Raw,0.7313725490196078,0.3333333333333333,0.3172764869539063,0.7066666666666666,0.4827425479888916,50.0,30.3,100.0,3.81
naive_hybrid,False,,,,,150,Random Forest Raw,1.0,0.4666666666666667,0.4662103174603175,0.7865185185185185,1.132159948348999,50.0,30.3,100.0,3.81
naive_hybrid,False,,,,,150,MLP Raw,0.6803921568627451,0.4444444444444444,0.447976562277174,0.765925925925926,5.891031980514526,50.0,30.3,100.0,3.81
naive_hybrid_with_labels,True,,,,,153,SVM (RBF) Raw,0.7470588235294118,0.3333333333333333,0.31784480373705687,0.7128888888888889,0.4705522060394287,50.0,30.3,100.0,3.81
naive_hybrid_with_labels,True,,,,,153,Random Forest Raw,1.0,0.5111111111111111,0.5132890804933815,0.8140740740740741,1.0783252716064453,50.0,30.3,100.0,3.81
naive_hybrid_with_labels,True,,,,,153,MLP Raw,0.2568627450980392,0.2,0.1586657070528038,0.5442962962962963,2.3214893341064453,50.0,30.3,100.0,3.81
